Controller_Time_GMT,Temp_degC_Ground,Temp_degC_ISS,RH_percent_Ground,RH_percent_ISS,CO2_ppm_Ground,CO2_ppm_ISS,Control_Chamber,Mission_Milestone,Vehicles
7/24/19 22:17,23,23,50,50,511,1500,7,,SPX_18
7/24/19 22:22,23,23,50,50,505,1500,,,
7/24/19 22:27,23,23,50,50,505,1500,,,
7/24/19 22:32,23,23,50,50,510,1500,,,
7/24/19 22:37,23,23,50,50,500,1500,,,
7/24/19 22:42,23,23,50,50,505,1500,,,
7/24/19 22:47,23,23,50,50,500,1500,,,
7/24/19 22:52,23,23,50,50,505,1500,,,
7/24/19 22:57,23,23,50,50,503,1500,,,
7/24/19 23:02,23,23,50,50,504,1500,,,
7/24/19 23:07,23,23,50,50,504,1500,,,
7/24/19 23:12,23,23,50,50,505,1500,,,
7/24/19 23:17,23,23,50,50,496,1500,,,
7/24/19 23:22,23,23,50,50,495,1500,,,
7/24/19 23:27,23,23,50,50,490,1500,,,
7/24/19 23:32,23,23,50,50,501,1500,,,
7/24/19 23:37,23,23,50,50,495,1500,,,
7/24/19 23:42,23,23,50,50,490,1500,,,
7/24/19 23:47,23,23,50,50,491,1500,,,
7/24/19 23:52,23,23,50,50,496,1500,,,
7/24/19 23:57,23,23,50,50,493,1500,,,
7/25/19 0:02,23,23,50,50,490,1500,,,
7/25/19 0:07,23,23,50,50,486,1500,,,
7/25/19 0:12,23,23,50,50,486,1500,,,
7/25/19 0:17,23,23,50,50,480,1500,,,
7/25/19 0:22,23,23,50,50,486,1500,,,
7/25/19 0:27,23,23,50,50,480,1500,,,
7/25/19 0:32,23,23,50,50,485,1500,,,
7/25/19 0:37,23,23,50,50,480,1500,,,
7/25/19 0:42,23,23,50,50,485,1500,,,
7/25/19 0:47,23,23,50,50,485,1500,,,
7/25/19 0:52,23,23,50,50,475,1500,,,
7/25/19 0:57,23,23,50,50,477,1500,,,
7/25/19 1:02,23,23,50,50,475,1500,,,
7/25/19 1:07,23,23,50,50,479,1500,,,
7/25/19 1:12,23,23,50,50,479,1500,,,
7/25/19 1:17,23,23,50,50,476,1500,,,
7/25/19 1:22,23,23,50,50,475,1500,,,
7/25/19 1:27,23,23,50,50,471,1500,,,
7/25/19 1:32,23,23,50,50,480,1500,,,
7/25/19 1:37,23,23,50,50,474,1500,,,
7/25/19 1:42,23,23,50,50,475,1500,,,
7/25/19 1:47,23,23,50,50,476,1500,,,
7/25/19 1:52,23,23,50,50,470,1500,,,
7/25/19 1:57,23,23,50,50,465,1500,,,
7/25/19 2:02,23,23,50,50,475,1500,,,
7/25/19 2:07,23,23,50,50,475,1500,,,
7/25/19 2:12,23,23,50,50,473,1500,,,
7/25/19 2:17,23,23,50,50,470,1500,,,
7/25/19 2:22,23,23,50,50,465,1500,,,
7/25/19 2:27,23,23,50,50,469,1500,,,
7/25/19 2:32,23,23,50,50,466,1500,,,
7/25/19 2:37,23,23,50,50,461,1500,,,
7/25/19 2:42,23,23,50,50,465,1500,,,
7/25/19 2:47,23,23,50,50,460,1500,,,
7/25/19 2:52,23,23,50,50,460,1500,,,
7/25/19 2:57,23,23,50,50,465,1500,,,
7/25/19 3:02,23,23,50,50,466,1500,,,
7/25/19 3:07,23,23,50,50,461,1500,,,
7/25/19 3:12,23,23,50,50,465,1500,,,
7/25/19 3:17,23,23,50,50,465,1500,,,
7/25/19 3:22,23,23,50,50,460,1500,,,
7/25/19 3:27,23,23,50,50,460,1500,,,
7/25/19 3:32,23,23,50,50,460,1500,,,
7/25/19 3:37,23,23,50,50,461,1500,,,
7/25/19 3:42,23,23,50,50,460,1500,,,
7/25/19 3:47,23,23,50,50,461,1500,,,
7/25/19 3:52,23,23,50,50,455,1500,,,
7/25/19 3:57,23,23,50,50,461,1500,,,
7/25/19 4:02,23,23,50,50,461,1500,,,
7/25/19 4:07,23,23,50,50,456,1500,,,
7/25/19 4:12,23,23,50,50,459,1500,,,
7/25/19 4:17,23,23,50,50,457,1500,,,
7/25/19 4:22,23,23,50,50,460,1500,,,
7/25/19 4:27,23,23,50,50,460,1500,,,
7/25/19 4:32,23,23,50,50,455,1500,,,
7/25/19 4:37,23,23,50,50,461,1500,,,
7/25/19 4:42,23,23,50,50,455,1500,,,
7/25/19 4:47,23,23,50,50,452,1500,,,
7/25/19 4:52,23,23,50,50,460,1500,,,
7/25/19 4:57,23,23,50,50,455,1500,,,
7/25/19 5:02,23,23,50,50,452,1500,,,
7/25/19 5:07,23,23,50,50,455,1500,,,
7/25/19 5:12,23,23,50,50,455,1500,,,
7/25/19 5:17,23,23,50,50,455,1500,,,
7/25/19 5:22,23,23,50,50,460,1500,,,
7/25/19 5:27,23,23,50,50,455,1500,,,
7/25/19 5:32,23,23,50,50,450,1500,,,
7/25/19 5:37,23,23,50,50,456,1500,,,
7/25/19 5:42,23,23,50,50,450,1500,,,
7/25/19 5:47,23,23,50,50,456,1500,,,
7/25/19 5:52,23,23,50,50,450,1500,,,
7/25/19 5:57,23,23,50,50,455,1500,,,
7/25/19 6:02,23,23,50,50,450,1500,,,
7/25/19 6:07,23,23,50,50,455,1500,,,
7/25/19 6:12,23,23,50,50,450,1500,,,
7/25/19 6:17,23,23,50,50,455,1500,,,
7/25/19 6:22,23,23,50,50,450,1500,,,
7/25/19 6:27,23,23,50,50,456,1500,,,
7/25/19 6:32,23,23,50,50,450,1500,,,
7/25/19 6:37,23,23,50,50,455,1500,,,
7/25/19 6:42,23,23,50,50,450,1500,,,
7/25/19 6:47,23,23,50,50,450,1500,,,
7/25/19 6:52,23,23,50,50,456,1500,,,
7/25/19 6:57,23,23,50,50,455,1500,,,
7/25/19 7:02,23,23,50,50,454,1500,,,
7/25/19 7:07,23,23,50,50,453,1500,,,
7/25/19 7:12,23,23,50,50,453,1500,,,
7/25/19 7:17,23,23,50,50,451,1500,,,
7/25/19 7:22,23,23,50,50,449,1500,,,
7/25/19 7:27,23,23,50,50,450,1500,,,
7/25/19 7:32,23,23,50,50,452,1500,,,
7/25/19 7:37,23,23,50,50,455,1500,,,
7/25/19 7:42,23,23,50,50,456,1500,,,
7/25/19 7:47,23,23,50,50,450,1500,,,
7/25/19 7:52,23,23,50,50,455,1500,,,
7/25/19 7:57,23,23,50,50,456,1500,,,
7/25/19 8:02,23,23,50,50,450,1500,,,
7/25/19 8:07,23,23,50,50,450,1500,,,
7/25/19 8:12,23,23,50,50,445,1500,,,
7/25/19 8:17,23,23,50,50,455,1500,,,
7/25/19 8:22,23,23,50,50,455,1500,,,
7/25/19 8:27,23,23,50,50,455,1500,,,
7/25/19 8:32,23,23,50,50,461,1500,,,
7/25/19 8:37,23,23,50,50,451,1500,,,
7/25/19 8:42,23,23,50,50,445,1500,,,
7/25/19 8:47,23,23,50,50,455,1500,,,
7/25/19 8:52,23,23,50,50,450,1500,,,
7/25/19 8:57,23,23,50,50,445,1500,,,
7/25/19 9:02,23,23,50,50,450,1500,,,
7/25/19 9:07,23,23,50,50,450,1500,,,
7/25/19 9:12,23,23,50,50,455,1500,,,
7/25/19 9:17,23,23,50,50,455,1500,,,
7/25/19 9:22,23,23,50,50,455,1500,,,
7/25/19 9:27,23,23,50,50,453,1500,,,
7/25/19 9:32,23,23,50,50,455,1500,,,
7/25/19 9:37,23,23,50,50,452,1500,,,
7/25/19 9:42,23,23,50,50,449,1500,,,
7/25/19 9:47,23,23,50,50,450,1500,,,
7/25/19 9:52,23,23,50,50,455,1500,,,
7/25/19 9:57,23,23,50,50,450,1500,,,
7/25/19 10:02,23,23,50,50,450,1500,,,
7/25/19 10:07,23,23,50,50,453,1500,,,
7/25/19 10:12,23,23,50,50,450,1500,,,
7/25/19 10:17,23,23,50,50,450,1500,,,
7/25/19 10:22,23,23,50,50,453,1500,,,
7/25/19 10:27,23,23,50,50,450,1500,,,
7/25/19 10:32,23,23,50,50,453,1500,,,
7/25/19 10:37,23,23,50,50,456,1500,,,
7/25/19 10:42,23,23,50,50,446,1500,,,
7/25/19 10:47,23,23,50,50,455,1500,,,
7/25/19 10:52,23,23,50,50,455,1500,,,
7/25/19 10:57,23,23,50,50,455,1500,,,
7/25/19 11:02,23,23,50,50,450,1500,,,
7/25/19 11:07,23,23,50,50,450,1500,,,
7/25/19 11:12,23,23,50,50,450,1500,,,
7/25/19 11:17,23,23,50,50,450,1500,,,
7/25/19 11:22,23,23,50,50,455,1500,,,
7/25/19 11:27,23,23,50,50,450,1500,,,
7/25/19 11:32,23,23,50,50,451,1500,,,
7/25/19 11:37,23,23,50,50,455,1500,,,
7/25/19 11:42,23,23,50,50,457,1500,,,
7/25/19 11:47,23,23,50,50,455,1500,,,
7/25/19 11:52,23,23,50,50,452,1500,,,
7/25/19 11:57,23,23,50,50,450,1500,,,
7/25/19 12:02,23,23,50,50,459,1500,,,
7/25/19 12:07,23,23,50,50,455,1500,,,
7/25/19 12:12,23,23,50,50,460,1500,,,
7/25/19 12:17,23,23,50,50,460,1500,,,
7/25/19 12:22,23,23,50,50,465,1500,,,
7/25/19 12:27,23,23,50,50,462,1500,,,
7/25/19 12:32,23,23,50,50,460,1500,,,
7/25/19 12:37,23,23,50,50,465,1500,,,
7/25/19 12:42,23,23,50,50,460,1500,,,
7/25/19 12:47,23,23,50,50,465,1500,,,
7/25/19 12:52,23,23,50,50,465,1500,,,
7/25/19 12:57,23,23,50,50,466,1500,,,
7/25/19 13:02,23,23,50,50,475,1500,,,
7/25/19 13:07,23,23,50,50,475,1500,,,
7/25/19 13:12,23,23,50,50,475,1500,,,
7/25/19 13:17,23,23,50,50,481,1500,,,
7/25/19 13:22,23,23,50,50,480,1500,,,
7/25/19 13:27,23,23,50,50,475,1500,,,
7/25/19 13:32,23,23,50,50,477,1500,,,
7/25/19 13:37,23,23,50,50,481,1500,,,
7/25/19 13:42,23,23,50,50,484,1500,,,
7/25/19 13:47,23,23,50,50,481,1500,,,
7/25/19 13:52,23,23,50,50,487,1500,,,
7/25/19 13:57,23,23,50,50,480,1500,,,
7/25/19 14:02,23,23,50,50,489,1500,,,
7/25/19 14:07,23,23,50,50,486,1500,,,
7/25/19 14:12,23,23,50,50,485,1500,,,
7/25/19 14:17,23,23,50,50,496,1500,,,
7/25/19 14:22,23,23,50,50,496,1500,,,
7/25/19 14:27,23,23,50,50,490,1500,,,
7/25/19 14:32,23,23,50,50,495,1500,,,
7/25/19 14:37,23,23,50,50,497,1500,,,
7/25/19 14:42,23,23,50,50,500,1500,,,
7/25/19 14:47,23,23,50,50,500,1500,,,
7/25/19 14:52,23,23,50,50,500,1500,,,
7/25/19 14:57,23,23,50,50,500,1500,,,
7/25/19 15:02,23,23,50,50,500,1500,,,
7/25/19 15:07,23,23,50,50,500,1500,,,
7/25/19 15:12,23,23,50,50,505,1500,,,
7/25/19 15:17,23,23,50,50,504,1500,,,
7/25/19 15:22,23,23,50,50,509,1500,,,
7/25/19 15:27,23,23,50,50,511,1500,,,
7/25/19 15:32,23,23,50,50,511,1500,,,
7/25/19 15:37,23,23,50,50,512,1500,,,
7/25/19 15:42,23,23,50,50,511,1500,,,
7/25/19 15:47,23,23,50,50,510,1500,,,
7/25/19 15:52,23,23,50,50,511,1500,,,
7/25/19 15:57,23,23,50,50,506,1500,,,
7/25/19 16:02,23,23,50,50,516,1500,,,
7/25/19 16:07,23,23,50,50,516,1500,,,
7/25/19 16:12,23,23,50,50,515,1500,,,
7/25/19 16:17,23,22.8,50,54,521,1500,,,
7/25/19 16:22,22.3,22.2,53,54,517,1500,,,
7/25/19 16:27,22,22,54,54,516,1500,,,
7/25/19 16:32,18.8,19,58,54,516,1500,,,
7/25/19 16:37,18.7,19,55,54,526,1500,,,
7/25/19 16:42,18.9,19,55,54,536,1500,,,
7/25/19 16:47,18.9,19,55,54,531,1500,,,
7/25/19 16:52,19,19,55,54,531,1500,,,
7/25/19 16:57,19,19,54,54,541,1500,,,
7/25/19 17:02,19,19,54,54,536,1500,,,
7/25/19 17:07,19,19,54,54,541,1500,,,
7/25/19 17:12,19,19,54,54,540,1500,,,
7/25/19 17:17,19,19,54,54,546,1500,,,
7/25/19 17:22,19,19,54,54,547,1500,,,
7/25/19 17:27,19,19,54,54,546,1500,,,
7/25/19 17:32,19,19,54,54,540,1500,,,
7/25/19 17:37,19,19,54,54,547,1500,,,
7/25/19 17:42,19,19,54,54,547,1500,,,
7/25/19 17:47,19,19,54,54,550,1500,,,
7/25/19 17:52,19,19,54,54,548,1500,,,
7/25/19 17:57,19,19,54,54,547,1500,,,
7/25/19 18:02,19,19,54,54,554,1500,,,
7/25/19 18:07,19,19,54,54,556,1500,,,
7/25/19 18:12,19,19,54,54,556,1500,,,
7/25/19 18:17,19,19,54,54,551,1500,,,
7/25/19 18:22,19,19,54,54,551,1500,,,
7/25/19 18:27,19,19,54,54,551,1500,,,
7/25/19 18:32,19,19,54,54,556,1500,,,
7/25/19 18:37,19,19,54,54,556,1500,,,
7/25/19 18:42,19,19,54,54,556,1500,,,
7/25/19 18:47,19,19,54,54,556,1500,,,
7/25/19 18:52,19,19,54,54,561,1500,,,
