Controller_Time_GMT,Temp_degC_Ground,Temp_degC_ISS,RH_percent_Ground,RH_percent_ISS,CO2_ppm_Ground,CO2_ppm_ISS,Light1,Light2,Light3,Control_Chamber,Mission_Milestone,Vehicles
9/20/14 3:59,24.1,24.1,37,39,484,2641,On,Off,Off,3,,SPX_4
9/20/14 4:04,24.1,24.1,42,39,480,2642,On,Off,Off,,,
9/20/14 4:09,23.9,24,38,39,472,2652,On,Off,Off,,,
9/20/14 4:14,24,24,37,39,466,2642,On,Off,Off,,,
9/20/14 4:19,23.9,24,43,39,476,2642,On,Off,Off,,,
9/20/14 4:24,24.1,24,37,39,484,2631,On,Off,Off,,,
9/20/14 4:29,23.9,24,37,39,482,2642,On,Off,Off,,,
9/20/14 4:34,23.9,24,42,39,466,2631,On,Off,Off,,,
9/20/14 4:39,24,24,37,39,492,2631,On,Off,Off,,,
9/20/14 4:44,23.9,24,36,39,464,2631,On,Off,Off,,,
9/20/14 4:49,24.1,24,41,38,466,2631,On,Off,Off,,,
9/20/14 4:54,23.9,23.9,37,38,466,2642,On,Off,Off,,,
9/20/14 4:59,23.9,23.9,37,38,466,2642,On,Off,Off,,,
9/20/14 5:04,23.9,23.9,37,38,470,2642,On,Off,Off,,,
9/20/14 5:09,23.8,23.9,42,38,464,2652,On,Off,Off,,,
9/20/14 5:14,23.9,23.9,38,38,480,2631,On,Off,Off,,,
9/20/14 5:19,23.9,23.9,36,38,462,2642,On,Off,Off,,,
