Date,GCR_Dose_mGy_d,SAA_Dose_mGy_d,,Total_Dose_mGy_d,,Mission_Milestone
9/21/14,0.13395,0.07158,,0.20553,,Launch
9/22/14,0.13334,0.09724,,0.23058,,
9/23/14,0.13589,0.0636,,0.19949,,
9/24/14,0.13587,0.08783,,0.2237,,
9/25/14,0.13334,0.07607,,0.20941,,Transfer to ISS
9/26/14,0.13479,0.07656,,0.21135,,
9/27/14,0.13638,0.06999,,0.20637,,
9/28/14,0.13103,0.06763,,0.19866,,
9/29/14,0.13104,0.0775,,0.20854,,
9/30/14,0.12895,0.07232,,0.20127,,
10/1/14,0.12622,0.08208,,0.2083,,
10/2/14,0.12559,0.07807,,0.20366,,
10/3/14,0.12619,0.08836,,0.21455,,
10/4/14,0.13215,0.08022,,0.21237,,
10/5/14,0.1255,0.09024,,0.21574,,
10/6/14,0.1252,0.08786,,0.21306,,
10/7/14,0.12639,0.07508,,0.20147,,
10/8/14,0.13039,0.07116,,0.20155,,
10/9/14,0.13204,0.06182,,0.19386,,
10/10/14,0.13037,0.07148,,0.20185,,
10/11/14,0.13163,0.07236,,0.20399,,
10/12/14,0.13024,0.07641,,0.20665,,Sac 1
10/13/14,0.12816,0.07807,,0.20623,,Sac 2
10/14/14,0.13105,0.07222,,0.20327,,
10/15/14,0.13302,0.0623,,0.19532,,
10/16/14,0.1338,0.06901,,0.20281,,
10/17/14,0.13824,0.06771,,0.20595,,
10/18/14,0.13892,0.07151,,0.21043,,
10/19/14,0.13606,0.05955,,0.19561,,
10/20/14,0.13494,0.05923,,0.19417,,
10/21/14,0.13305,0.06037,,0.19342,,
10/22/14,0.13312,0.06493,,0.19805,,
10/23/14,0.13188,0.06312,,0.195,,
10/24/14,0.13155,0.06559,,0.19714,,
10/25/14,0.1261,0.07157,,0.19767,,
10/26/14,0.12865,0.07339,,0.20204,,
10/27/14,0.12773,0.07671,,0.20444,,
10/28/14,0.12519,0.07499,,0.20018,,Sac 3
10/29/14,0.12689,0.06249,,0.18938,,
