Controller_Time_GMT,Temp_degC_Ground,Temp_degC_ISS,RH_percent_Ground,RH_percent_ISS,CO2_ppm_Ground,CO2_ppm_ISS,Light1,Light2,Light3,Control_Chamber,Mission_Milestone,Vehicles
4/8/16 4:00,24.1,22.2,55,55,784,2000,Off,Off,On,3,,SPX_8
4/8/16 4:05,23.9,22.2,55,55,778,2000,Off,Off,On,,,
4/8/16 4:10,24.1,22.2,54,55,794,2000,Off,Off,On,,,
4/8/16 4:15,24.1,22.2,53,55,784,2000,Off,Off,On,,,
4/8/16 4:20,24.1,22.2,53,55,782,2000,Off,Off,On,,,
4/8/16 4:25,24.1,22.2,53,55,782,2000,Off,Off,On,,,
4/8/16 4:30,24.1,22.2,54,55,794,2000,Off,Off,On,,,
4/8/16 4:35,24.1,22.2,53,55,776,2000,Off,Off,On,,,
4/8/16 4:40,24.2,22.2,52,55,794,2000,Off,Off,On,,,
4/8/16 4:45,24.2,22.2,51,55,782,2000,Off,Off,On,,,
4/8/16 4:50,24.1,22.2,51,55,792,2000,Off,Off,On,,,
4/8/16 4:55,24.1,22.2,51,55,786,2000,Off,Off,On,,,
4/8/16 5:00,24.2,22.2,52,55,792,2000,Off,Off,On,,,
4/8/16 5:05,24.1,22.2,53,55,786,2000,Off,Off,On,,,
4/8/16 5:10,24,22.2,53,55,792,2000,Off,Off,On,,,
4/8/16 5:15,24.2,22.2,54,55,792,2000,Off,Off,On,,,
4/8/16 5:20,24.2,22.2,55,55,786,2000,Off,Off,On,,,
4/8/16 5:25,24.1,22.2,56,55,782,2000,Off,Off,On,,,
4/8/16 5:30,24.4,22.2,56,55,794,2000,Off,Off,On,,,
4/8/16 5:35,24.5,22.2,57,55,768,2000,Off,Off,On,,,
4/8/16 5:40,24.6,22.2,58,55,782,2000,Off,Off,On,,,
4/8/16 5:45,24.6,22.2,58,55,780,2000,Off,Off,On,,,
4/8/16 5:50,24.5,22.2,58,55,768,2000,Off,Off,On,,,
4/8/16 5:55,24.3,22.2,58,55,768,2000,Off,Off,On,,,
4/8/16 6:00,24.3,22.2,58,55,784,2000,Off,Off,On,,,
4/8/16 6:05,24.2,22.2,57,55,772,2000,Off,Off,On,,,
4/8/16 6:10,24,22.2,57,55,788,2000,Off,Off,On,,,
4/8/16 6:15,23.9,22.2,57,55,782,2000,Off,Off,On,,,
4/8/16 6:20,24,22.2,56,55,766,2000,Off,Off,On,,,
4/8/16 6:25,23.9,22.2,56,55,788,2000,Off,Off,On,,,
4/8/16 6:30,24,22.2,55,55,782,2000,Off,Off,On,,,
4/8/16 6:35,24,22.2,55,55,782,2000,Off,Off,On,,,
4/8/16 6:40,24,22.2,54,55,770,2000,Off,Off,On,,,
4/8/16 6:45,24.1,22.2,54,55,786,2000,Off,Off,On,,,
4/8/16 6:50,24.1,22.2,54,55,770,2000,Off,Off,On,,,
4/8/16 6:55,24.1,22.2,53,55,778,2000,Off,Off,On,,,
4/8/16 7:00,24.2,22.2,53,55,782,2000,Off,Off,On,,,
4/8/16 7:05,24.2,22.2,52,55,772,2000,Off,Off,On,,,
4/8/16 7:10,24.2,22.2,51,55,768,2000,Off,Off,On,,,
4/8/16 7:15,24.1,22.2,51,55,780,2000,Off,Off,On,,,
4/8/16 7:20,24.1,22.2,51,55,778,2000,Off,Off,On,,,
4/8/16 7:25,24.1,22.2,52,55,782,2000,Off,Off,On,,,
4/8/16 7:30,24.2,22.2,53,55,788,2000,Off,Off,On,,,
4/8/16 7:35,24.2,22.2,54,55,778,2000,Off,Off,On,,,
4/8/16 7:40,24.3,22.2,56,55,778,2000,Off,Off,On,,,
4/8/16 7:45,24.4,22.2,56,55,766,2000,Off,Off,On,,,
4/8/16 7:50,24.5,22.2,57,55,770,2000,Off,Off,On,,,
4/8/16 7:55,24.5,22.2,57,55,782,2000,Off,Off,On,,,
4/8/16 8:00,24.5,22.2,58,55,778,2000,Off,Off,On,,,
4/8/16 8:05,24.6,22.2,58,55,778,2000,Off,Off,On,,,
4/8/16 8:10,24.6,22.2,58,55,778,2000,Off,Off,On,,,
4/8/16 8:15,24.5,22.2,58,55,762,2000,Off,Off,On,,,
4/8/16 8:20,24.4,22.2,58,55,760,2000,Off,Off,On,,,
4/8/16 8:27,24.2,22.2,52,55,762,2000,Off,Off,On,,,
4/8/16 8:30,24.2,22.2,58,55,778,2000,Off,Off,On,,,
4/8/16 8:35,24,22.2,57,55,762,2000,Off,Off,On,,,
4/8/16 8:40,24,22.2,57,55,776,2000,Off,Off,On,,,
4/8/16 8:45,24,22.2,57,55,776,2000,Off,Off,On,,,
4/8/16 8:50,24,22.2,57,55,762,2000,Off,Off,On,,,
4/8/16 8:55,24,22.2,56,55,772,2000,Off,Off,On,,,
4/8/16 9:00,23.9,22.2,55,55,782,2000,Off,Off,On,,,
4/8/16 9:05,24.1,22.2,54,55,770,2000,Off,Off,On,,,
4/8/16 9:10,24.2,22.2,53,55,768,2000,Off,Off,On,,,
4/8/16 9:15,24.1,22.2,53,55,766,2000,Off,Off,On,,,
4/8/16 9:20,24.2,22.2,52,55,778,2000,Off,Off,On,,,
4/8/16 9:25,24.2,22.2,52,55,764,2000,Off,Off,On,,,
4/8/16 9:30,24.2,22.2,51,55,772,2000,Off,Off,On,,,
4/8/16 9:35,24.1,22.2,51,55,766,2000,Off,Off,On,,,
4/8/16 9:40,24.1,22.2,52,55,778,2000,Off,Off,On,,,
4/8/16 9:45,24.2,22.2,51,55,780,2000,Off,Off,On,,,
4/8/16 9:50,24.1,22.2,52,55,778,2000,Off,Off,On,,,
4/8/16 9:55,24.1,22.2,53,55,784,2000,Off,Off,On,,,
4/8/16 10:00,24,22.2,52,55,778,2000,Off,Off,On,,,
4/8/16 10:05,24.1,22.2,53,55,772,2000,Off,Off,On,,,
4/8/16 10:10,24.2,22.2,53,55,778,2000,Off,Off,On,,,
4/8/16 10:15,24.1,22.2,53,55,770,2000,Off,Off,On,,,
4/8/16 10:20,24.2,22.2,55,55,786,2000,Off,Off,On,,,
4/8/16 10:25,24.1,22.2,54,55,778,2000,Off,Off,On,,,
4/8/16 10:30,24.1,22.2,55,55,754,2000,Off,Off,On,,,
4/8/16 10:35,24.1,22.2,56,55,786,2000,Off,Off,On,,,
4/8/16 10:40,24.3,22.2,56,55,762,2000,Off,Off,On,,,
4/8/16 10:45,24.4,22.2,57,55,782,2000,Off,Off,On,,,
4/8/16 10:50,24.5,22.2,57,55,778,2000,Off,Off,On,,,
4/8/16 10:55,24.5,22.2,58,55,772,2000,Off,Off,On,,,
4/8/16 11:00,24.5,22.2,58,55,766,2000,Off,Off,On,,,
4/8/16 11:05,24.4,22.2,58,55,772,2000,Off,Off,On,,,
4/8/16 11:10,24.3,22.2,58,55,776,2000,Off,Off,On,,,
4/8/16 11:15,24.1,22.2,57,55,766,2000,Off,Off,On,,,
4/8/16 11:20,24,22.2,57,55,766,2000,Off,Off,On,,,
