Date,Instrument,Location,GCR_Dose_mGy_d,SAA_Dose_mGy_d,Total_Dose_mGy_d,Mission_Milestone
2/24/17,REM,LAB1O3,0.15512,0.08237,0.23749,animal_transfer_to_ISS
2/25/17,REM,LAB1O3,0.1623,0.08609,0.24839,
2/26/17,REM,LAB1O3,0.15557,0.09716,0.25273,
2/27/17,REM,LAB1O3,0.15847,0.08023,0.2387,
2/28/17,REM,LAB1O3,0.15486,0.0817,0.23656,
3/1/17,REM,LAB1O3,0.157,0.09177,0.24877,
3/2/17,REM,LAB1O3,0.15808,0.07576,0.23384,
3/3/17,REM,LAB1O3,0.15733,0.08272,0.24005,
3/4/17,REM,LAB1O3,0.16124,0.09427,0.25551,
3/5/17,REM,LAB1O3,0.16435,0.08031,0.24466,
3/6/17,REM,LAB1O3,0.15474,0.07789,0.23263,
3/7/17,REM,LAB1O3,0.1543,0.09155,0.24585,
3/8/17,REM,LAB1O3,0.15842,0.08256,0.24098,
3/9/17,REM,LAB1O3,0.15647,0.08116,0.23763,
3/10/17,REM,LAB1O3,0.15637,0.07739,0.23376,
3/11/17,REM,LAB1O3,0.15996,0.08679,0.24675,sac1
3/12/17,REM,LAB1O3,0.15958,0.07688,0.23646,sac2
3/13/17,REM,LAB1O3,0.15498,0.09783,0.25281,sac3
3/14/17,REM,LAB1O3,0.15923,0.08027,0.2395,sac4
