Controller_Time_GMT,Temp_degC_Ground,Temp_degC_ISS,RH_percent_Ground,RH_percent_ISS,CO2_ppm_Ground,CO2_ppm_ISS,Light1,Light2,Light3,Control_Chamber,Mission_Milestone,Vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/17 4:00,22.9,23,36,38,662,3001,Off,Off,On,2,,SPX_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/17 4:05,22.9,23,37,38,648,3001,Off,Off,On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/17 4:10,23,23,41,38,664,3001,Off,Off,On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/17 4:15,22.9,23,35,38,658,3001,Off,Off,On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/17 4:20,23,23,37,38,656,3001,Off,Off,On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/17 4:25,23.1,23,43,38,662,3001,Off,Off,On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/17 4:30,23,23,35,38,664,3001,Off,Off,On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/17 4:35,23,23,39,38,666,3001,Off,Off,On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/17 4:40,23.1,23,43,38,648,3001,Off,Off,On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/17 4:45,23,23,35,38,670,3001,Off,Off,On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/17 4:50,22.9,23,39,38,648,3001,Off,Off,On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/17 4:55,23.2,23,41,38,662,3001,Off,Off,On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/17 5:00,22.9,23,36,38,648,3001,Off,Off,On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/17 5:05,22.9,23,38,38,662,3001,Off,Off,On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/17 5:10,23.2,23,43,38,648,3001,Off,Off,On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/17 5:15,23.1,23,35,38,646,3001,Off,Off,On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/17 5:20,22.9,23,39,38,652,3001,Off,Off,On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/17 5:25,23.2,23,43,38,652,3001,Off,Off,On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/17 5:30,23,23,35,38,656,3001,Off,Off,On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/17 5:35,22.9,23,38,38,664,3001,Off,Off,On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/17 5:40,23.2,23,43,38,652,3001,Off,Off,On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/17 5:45,23,23,35,38,656,3001,Off,Off,On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/17 5:50,22.9,23,37,38,652,3001,Off,Off,On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/17 5:55,23.2,23,43,38,662,3001,Off,Off,On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
