Controller_Time_GMT,Temp_degC_Ground,Temp_degC_ISS,RH_percent_Ground,RH_percent_ISS,CO2_ppm_Ground,CO2_ppm_ISS,Control_Chamber,Mission_Milestone,Vehicles,
12/10/17 5:55,22.8,23,46,50,710,2138,NA,,SPX_13,
12/10/17 6:00,22.8,23,46,50,704,2138,,,,
12/10/17 6:05,22.9,23,47,50,702,2138,,,,
12/10/17 6:10,22.9,23,48,50,706,2138,,,,
12/10/17 6:15,22.8,23,49,50,714,2138,,,,
12/10/17 6:20,23.1,23,50,50,694,2138,,,,
12/10/17 6:25,23.1,23,51,50,690,2138,,,,
12/10/17 6:30,23.3,23,52,50,692,2138,,,,
12/10/17 6:35,23.2,23,53,50,712,2138,,,,
12/10/17 6:40,23.2,23,53,50,692,2138,,,,
12/10/17 6:45,23.2,23,52,50,690,2138,,,,
12/10/17 6:50,23.2,23,52,50,692,2138,,,,
12/10/17 6:55,23.1,23,52,50,702,2138,,,,
12/10/17 7:00,23.1,23,51,50,698,2138,,,,
12/10/17 7:05,22.9,23,51,50,712,2138,,,,
12/10/17 7:10,23,23,49,50,702,2138,,,,
12/10/17 7:15,22.8,23,47,50,692,2138,,,,
12/10/17 7:20,22.9,23,46,50,690,2138,,,,
12/10/17 7:25,22.9,23,46,50,706,2138,,,,
12/10/17 7:30,22.9,23,46,50,686,2138,,,,
12/10/17 7:35,22.9,23,46,50,706,2138,,,,
12/10/17 7:40,22.9,23,46,50,708,2138,,,,
12/10/17 7:45,22.9,23,46,50,690,2138,,,,
12/10/17 7:50,22.9,23,46,50,702,2138,,,,
12/10/17 7:55,22.9,23,47,50,700,2138,,,,
12/10/17 8:00,22.9,23,47,50,714,2138,,,,
12/10/17 8:05,23,23,48,50,708,2138,,,,
12/10/17 8:10,23,23,49,50,690,2138,,,,
12/10/17 8:15,23,23,49,50,708,2138,,,,
12/10/17 8:20,23,23,50,50,712,2138,,,,
12/10/17 8:25,23.1,23,50,50,702,2138,,,,
12/10/17 8:30,23.1,23,51,50,706,2138,,,,
12/10/17 8:35,23.3,23,52,50,700,2138,,,,
12/10/17 8:40,23.3,23,52,50,702,2138,,,,
12/10/17 8:45,23.3,23,52,50,712,2138,,,,
12/10/17 8:50,23.2,23,53,50,702,2138,,,,
12/10/17 8:55,23.3,23,53,50,706,2138,,,,
12/10/17 9:00,23.2,23,52,50,706,2138,,,,
12/10/17 9:05,23,23,52,50,694,2138,,,,
12/10/17 9:10,23.1,23,51,50,702,2138,,,,
12/10/17 9:15,23.1,23,51,50,690,2138,,,,
12/10/17 9:20,23,23,50,50,690,2138,,,,
12/10/17 9:25,22.9,23,47,50,708,2138,,,,
12/10/17 9:30,22.9,23,47,50,692,2138,,,,
12/10/17 9:35,22.9,23,46,50,690,2138,,,,
12/10/17 9:40,22.8,23,46,50,692,2138,,,,
12/10/17 9:45,22.8,23,46,50,712,2138,,,,
12/10/17 9:50,22.9,23,46,50,716,2138,,,,
12/10/17 9:55,22.9,23,46,50,692,2138,,,,
12/10/17 10:00,22.8,23,47,50,696,2138,,,,
12/10/17 10:05,22.9,23,46,50,696,2138,,,,
12/10/17 10:10,22.9,23,47,50,702,2138,,,,
12/10/17 10:15,23,23,47,50,696,2138,,,,
12/10/17 10:20,23,23,48,50,696,2138,,,,
12/10/17 10:25,23,23,48,50,702,2138,,,,
12/10/17 10:30,23,23,48,50,702,2138,,,,
12/10/17 10:35,23,23,49,50,690,2138,,,,
12/10/17 10:40,22.9,23,50,50,690,2138,,,,
12/10/17 10:45,23.1,23,50,50,706,2138,,,,
12/10/17 10:50,23.1,23,51,50,692,2138,,,,
12/10/17 10:55,23.2,23,52,50,712,2138,,,,
12/10/17 11:00,23.2,23,52,50,710,2138,,,,
12/10/17 11:05,23.1,23,52,50,702,2138,,,,
12/10/17 11:10,23.2,23,53,50,702,2138,,,,
12/10/17 11:15,23.2,23,53,50,702,2138,,,,
12/10/17 11:20,23.1,23,52,50,706,2138,,,,
12/10/17 11:25,23.1,23,52,50,702,2138,,,,
12/10/17 11:30,23.1,23,52,50,702,2138,,,,
12/10/17 11:35,23.2,23,51,50,690,2138,,,,
12/10/17 11:40,23,23,50,50,696,2138,,,,
12/10/17 11:45,22.9,23,48,50,706,2138,,,,
12/10/17 11:50,22.9,23,48,50,702,2138,,,,
12/10/17 11:55,22.9,23,48,50,706,2138,,,,
12/10/17 12:00,22.9,23,47,50,692,2138,,,,
12/10/17 12:05,22.9,23,47,50,708,2138,,,,
12/10/17 12:10,22.9,23,46,50,700,2138,,,,
12/10/17 12:15,22.9,23,47,50,698,2138,,,,
12/10/17 12:20,22.8,23,46,50,712,2138,,,,
12/10/17 12:25,22.8,23,46,50,712,2138,,,,
12/10/17 12:30,22.8,23,46,50,718,2138,,,,
12/10/17 12:35,22.8,23,46,50,692,2138,,,,
12/10/17 12:40,22.8,23,46,50,692,2138,,,,
12/10/17 12:45,22.9,23,46,50,700,2138,,,,
12/10/17 12:50,22.8,23,46,50,696,2138,,,,
12/10/17 12:55,22.8,23,46,50,692,2138,,,,
12/10/17 13:00,22.9,23,46,50,710,2138,,,,
12/10/17 13:05,22.9,23,46,50,700,2138,,,,
12/10/17 13:10,22.8,23,47,50,706,2138,,,,
12/10/17 13:15,22.8,23,46,50,696,2138,,,,
12/10/17 13:20,22.9,23,47,50,696,2138,,,,
12/10/17 13:25,22.9,23,47,50,708,2138,,,,
12/10/17 13:30,22.9,23,48,50,692,2138,,,,
12/10/17 13:35,22.8,23,48,50,706,2138,,,,
12/10/17 13:40,22.9,23,48,50,696,2138,,,,
12/10/17 13:45,22.9,23,49,50,702,2138,,,,
12/10/17 13:50,23.1,23,49,50,706,2138,,,,
12/10/17 13:55,23.2,23,49,50,702,2138,,,,
