Controller_Time_GMT,Temp_degC_Ground,Temp_degC_ISS,RH_percent_Ground,RH_percent_ISS,CO2_ppm_Ground,CO2_ppm_ISS,Control_Chamber,Mission_Milestone,Vehicles,
12/6/17 15:06,23.1,23,48,50,1060,500,NA,,SPX_13,
12/6/17 15:11,23.2,23,47,50,1042,500,,,,
12/6/17 15:16,23.1,23,47,50,1048,500,,,,
12/6/17 15:21,23,23,47,50,1050,500,,,,
12/6/17 15:26,23,23,47,50,1048,500,,,,
12/6/17 15:31,23,23,47,50,1042,500,,,,
12/6/17 15:36,22.9,23,49,50,1048,500,,,,
12/6/17 15:41,23,23,49,50,1050,500,,,,
12/6/17 15:46,23,23,48,50,1066,500,,,,
12/6/17 15:51,23.1,23,48,50,1050,500,,,,
12/6/17 15:56,22.9,23,47,50,1070,500,,,,
12/6/17 16:01,23.1,23,47,50,1064,500,,,,
12/6/17 16:06,23,23,47,50,1056,500,,,,
12/6/17 16:11,23.1,23,48,50,1072,500,,,,
12/6/17 16:16,23,23,50,50,1080,500,,,,
12/6/17 16:21,23.2,23,52,50,1076,500,,,,
12/6/17 16:26,22.8,23,48,50,1062,500,,,,
12/6/17 16:31,23,23,48,50,1076,500,,,,
12/6/17 16:36,23,23,48,50,1066,500,,,,
12/6/17 16:41,22.9,23,47,50,1066,500,,,,
12/6/17 16:46,22.9,23,48,50,1082,500,,,,
12/6/17 16:51,22.9,23,51,50,1066,500,,,,
12/6/17 16:56,22.8,23,50,50,1070,500,,,,
12/6/17 17:01,22.9,23,48,50,1084,500,,,,
12/6/17 17:06,23,23,48,50,1076,500,,,,
12/6/17 17:11,23,23,48,50,1088,500,,,,
12/6/17 17:16,23.1,23,52,50,1082,500,,,,
12/6/17 17:21,22.7,23,53,50,1092,500,,,,
12/6/17 17:26,23.3,23,48,50,1072,500,,,,
12/6/17 17:31,22.8,23,48,50,1104,500,,,,
12/6/17 17:36,22.9,23,48,50,1098,500,,,,
12/6/17 17:41,23,23,49,50,1094,500,,,,
12/6/17 17:46,23.1,23,52,50,1078,500,,,,
12/6/17 17:51,22.9,23,53,50,1078,500,,,,
12/6/17 17:56,23.2,23,48,50,1106,500,,,,
12/6/17 18:01,22.9,23,47,50,1098,500,,,,
12/6/17 18:06,22.9,23,49,50,1100,500,,,,
12/6/17 18:11,22.9,23,49,50,1094,500,,,,
12/6/17 18:16,22.9,23,49,50,1094,500,,,,
12/6/17 18:21,22.9,23,48,50,1104,500,,,,
12/6/17 18:26,23.1,23,47,50,1092,500,,,,
12/6/17 18:31,23,23,47,50,1110,500,,,,
12/6/17 18:36,23,23,48,50,1110,500,,,,
12/6/17 18:41,23.1,23,47,50,1106,500,,,,
12/6/17 18:46,23,23,48,50,1110,500,,,,
12/6/17 18:51,23,23,48,50,1116,500,,,,
12/6/17 18:56,23.1,23,47,50,1104,500,,,,
12/6/17 19:01,23,23,47,50,1104,500,,,,
12/6/17 19:06,23,23,51,50,1104,500,,,,
12/6/17 19:11,22.9,23,48,50,1116,500,,,,
12/6/17 19:16,23,23,47,50,1112,500,,,,
12/6/17 19:21,23,23,48,50,1116,500,,,,
12/6/17 19:26,23,23,48,50,1126,500,,,,
12/6/17 19:31,23.1,23,48,50,1110,500,,,,
12/6/17 19:36,23,23,48,50,1120,500,,,,
12/6/17 19:41,23,23,48,50,1120,500,,,,
12/6/17 19:46,23,23,47,50,1122,500,,,,
12/6/17 19:51,23,23,47,50,1126,500,,,,
12/6/17 19:56,22.9,23,51,50,1112,500,,,,
12/6/17 20:01,23.2,23,52,50,1132,500,,,,
