Controller_Time_GMT,Temp_degC_Ground,Temp_degC_ISS,RH_percent_Ground,RH_percent_ISS,CO2_ppm_Ground,CO2_ppm_ISS,Control_Chamber,Mission_Milestone,Vehicles,,,,
8/14/18 4:53,24.7,24.7,61,63,2920,2915,3,,SPX_11_Launch,,,,
8/14/18 4:58,24.8,24.8,60,63,2922,2915,,,SPX_12_Return,,,,
8/14/18 5:03,24.9,24.9,61,63,2912,2915,,,,,,,
8/14/18 5:08,25,24.8,60,62,2898,2915,,,,,,,
8/14/18 5:13,24.8,24.8,59,62,2918,2915,,,,,,,
8/14/18 5:18,24.9,24.7,63,62,2910,2915,,,,,,,
8/14/18 5:23,24.8,24.8,61,63,2888,2915,,,,,,,
8/14/18 5:28,24.6,24.8,60,63,2932,2915,,,,,,,
8/14/18 5:33,24.8,24.8,64,64,2914,2915,,,,,,,
8/14/18 5:38,24.9,24.9,63,64,2908,2915,,,,,,,
8/14/18 5:43,25,24.9,63,64,2928,2915,,,,,,,
8/14/18 5:48,23.9,23.5,61,53,2910,2915,,,,,,,
8/14/18 5:53,23.3,23.1,52,37,2904,2915,,,,,,,
8/14/18 5:58,23,23.1,47,36,2916,2915,,,,,,,
8/14/18 6:03,22.7,23,45,44,2930,2915,,,,,,,
8/14/18 6:08,22.7,22.6,46,38,2916,2915,,,,,,,
8/14/18 6:13,22.2,22.3,44,44,2922,2915,,,,,,,
8/14/18 6:18,22.4,22.6,45,38,2914,2915,,,,,,,
8/14/18 6:23,22.5,22.6,44,38,2904,2915,,,,,,,
8/14/18 6:28,22.5,22.5,44,42,2898,2915,,,,,,,
8/14/18 6:33,22.7,22.5,44,37,2926,2915,,,,,,,
8/14/18 6:38,22.3,22.5,47,51,2904,2915,,,,,,,
8/14/18 6:43,22.7,22.6,45,37,2884,2915,,,,,,,
8/14/18 6:48,22.8,22.9,44,43,2908,2915,,,,,,,
8/14/18 6:53,23.1,23.5,47,43,2932,2915,,,,,,,
8/14/18 6:58,23.3,23.1,44,39,2894,2915,,,,,,,
8/14/18 7:03,22.7,23.2,43,48,2926,2915,,,,,,,
8/14/18 7:08,23.9,23.3,43,36,2916,2915,,,,,,,
8/14/18 7:13,22.3,20.8,45,50,2914,2915,,,,,,,
8/14/18 7:18,21.8,21.9,46,36,2898,2915,,,,,,,
8/14/18 7:23,22.5,22.5,43,37,2918,2915,,,,,,,
8/14/18 7:28,22.5,22.5,42,39,2910,2915,,,,,,,
8/14/18 7:33,23.9,25.8,41,39,2884,2915,,,,,,,
8/14/18 7:38,24.6,26.4,44,56,2916,2915,,,,,,,
8/14/18 7:43,25.4,25.2,53,55,2890,2915,,,,,,,
8/14/18 7:48,24.8,24.3,49,51,2916,2915,,,,,,,
8/14/18 7:53,23.3,23.1,49,52,2932,2915,,,,,,,
8/14/18 7:58,23.3,23.1,51,52,2920,2915,,,,,,,
8/14/18 8:03,23,23.1,55,52,2926,2915,,,,,,,
8/14/18 8:08,23.2,23.1,53,52,2918,2915,,,,,,,
8/14/18 8:13,22.8,23.1,55,52,2900,2915,,,,,,,
8/14/18 8:18,23.4,23.1,51,52,2926,2915,,,,,,,
8/14/18 8:23,22.9,23.1,52,52,2920,2915,,,,,,,
8/14/18 8:28,23.2,23.1,51,52,2912,2915,,,,,,,
8/14/18 8:33,23.3,23.1,53,52,2910,2915,,,,,,,
8/14/18 8:38,23.2,23.1,55,52,2882,2915,,,,,,,
8/14/18 8:43,23.2,23.1,50,52,2910,2915,,,,,,,
8/14/18 8:48,23.2,23.1,49,52,2906,2915,,,,,,,
8/14/18 8:53,23,23.1,50,52,2902,2915,,,,,,,
8/14/18 8:58,23,23.1,50,52,2932,2915,,,,,,,
8/14/18 9:03,23,23.1,49,52,2926,2915,,,,,,,
8/14/18 9:08,23.1,23.1,52,52,2920,2915,,,,,,,
8/14/18 9:13,23.4,23.1,54,52,2904,2915,,,,,,,
8/14/18 9:18,23.3,23.1,54,52,2936,2915,,,,,,,
8/14/18 9:23,23,23.1,53,52,2894,2915,,,,,,,
